Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
BA:BF:1A:7A:B5:2F, 2023-11-07 14:16:52, 2023-11-07 14:26:52,-75,5,(not associated),
B4:A8:98:AB:3E:D5, 2023-11-07 14:16:55, 2023-11-07 14:16:55,-1,1,00:35:1A:1D:68:C1,
5E:06:F4:18:8F:60, 2023-11-07 14:16:57, 2023-11-07 14:16:57,-67,2,(not associated),
7E:CF:E9:9D:C9:54, 2023-11-07 14:17:01, 2023-11-07 14:17:01,-70,1,(not associated),
A2:77:FD:07:D6:74, 2023-11-07 14:17:06, 2023-11-07 14:17:06,-81,1,(not associated),
72:41:C8:DD:A1:CB, 2023-11-07 14:17:12, 2023-11-07 14:17:12,-73,1,(not associated),
1A:5C:06:CE:17:7F, 2023-11-07 14:17:14, 2023-11-07 14:17:14,-71,1,(not associated),
56:A3:DB:25:AC:E2, 2023-11-07 14:17:14, 2023-11-07 14:17:14,-81,2,(not associated),
7A:2C:F2:4B:93:8E, 2023-11-07 14:17:18, 2023-11-07 14:17:18,-76,1,(not associated),
26:61:4A:9F:FE:0E, 2023-11-07 14:17:19, 2023-11-07 14:17:19,-75,1,(not associated),
96:A7:FE:08:3C:71, 2023-11-07 14:17:22, 2023-11-07 14:17:22,-78,1,(not associated),
B6:28:45:53:03:A5, 2023-11-07 14:17:31, 2023-11-07 14:17:31,-80,2,(not associated),
76:4E:B5:B4:20:8B, 2023-11-07 14:17:42, 2023-11-07 14:17:42,-74,2,(not associated),
22:9D:A0:87:92:30, 2023-11-07 14:17:45, 2023-11-07 14:17:45,-77,2,F4:92:BF:C7:65:35,
8E:5A:D0:EA:1B:6A, 2023-11-07 14:17:47, 2023-11-07 14:17:47,-74,2,(not associated),
A6:98:AD:0B:82:8C, 2023-11-07 14:17:51, 2023-11-07 14:17:51,-73,2,(not associated),
EA:AA:BD:24:9F:1C, 2023-11-07 14:17:52, 2023-11-07 14:17:52,-78,1,(not associated),
F6:68:AA:A6:6F:90, 2023-11-07 14:17:57, 2023-11-07 14:17:57,-73,1,(not associated),
C6:36:FA:3C:41:9C, 2023-11-07 14:18:00, 2023-11-07 14:18:00,-75,1,(not associated),
4A:E8:01:FA:97:01, 2023-11-07 14:18:01, 2023-11-07 14:18:01,-73,1,(not associated),
C2:14:10:59:92:0D, 2023-11-07 14:18:07, 2023-11-07 14:18:07,-72,2,(not associated),
CE:12:69:5E:D1:CD, 2023-11-07 14:18:08, 2023-11-07 14:18:09,-79,2,(not associated),
6A:59:9D:E5:78:06, 2023-11-07 14:18:13, 2023-11-07 14:18:13,-74,1,(not associated),
26:08:67:36:73:2A, 2023-11-07 14:18:14, 2023-11-07 14:18:14,-72,2,(not associated),
72:53:9A:B5:D9:79, 2023-11-07 14:18:17, 2023-11-07 14:18:17,-76,2,(not associated),
12:F1:01:62:6A:28, 2023-11-07 14:18:21, 2023-11-07 14:18:21,-73,1,(not associated),
92:1C:B5:FF:2A:BB, 2023-11-07 14:18:22, 2023-11-07 14:18:22,-78,2,(not associated),
4E:E3:79:2D:34:F3, 2023-11-07 14:18:23, 2023-11-07 14:18:23,-74,2,(not associated),
CA:08:E5:2D:DA:50, 2023-11-07 14:18:26, 2023-11-07 14:18:26,-69,1,(not associated),
EE:66:FA:31:C4:4A, 2023-11-07 14:18:28, 2023-11-07 14:18:28,-77,1,(not associated),
DA:4C:37:61:14:9A, 2023-11-07 14:18:29, 2023-11-07 14:18:29,-74,1,(not associated),
82:68:02:5F:E9:5B, 2023-11-07 14:18:30, 2023-11-07 14:18:30,-72,1,(not associated),
56:CF:AB:DC:65:1C, 2023-11-07 14:18:32, 2023-11-07 14:18:32,-79,1,(not associated),
0A:BF:8D:7B:B2:A7, 2023-11-07 14:18:33, 2023-11-07 14:18:33,-76,2,(not associated),
CA:75:F4:D5:3C:66, 2023-11-07 14:18:35, 2023-11-07 14:18:36,-73,2,(not associated),
4E:40:65:AC:F8:81, 2023-11-07 14:18:35, 2023-11-07 14:18:35,-79,1,(not associated),
5E:EF:0B:E9:54:76, 2023-11-07 14:18:38, 2023-11-07 14:18:38,-72,1,(not associated),
DA:06:B5:4D:E2:3C, 2023-11-07 14:18:41, 2023-11-07 14:18:41,-75,2,(not associated),
BA:90:86:79:90:2D, 2023-11-07 14:18:43, 2023-11-07 14:18:43,-77,1,(not associated),
26:86:4F:92:A2:BB, 2023-11-07 14:18:47, 2023-11-07 14:18:47,-74,1,(not associated),
48:D6:D5:30:83:02, 2023-11-07 14:18:51, 2023-11-07 14:18:52,-77,2,(not associated),Michiclub
EA:A5:55:92:D4:73, 2023-11-07 14:18:53, 2023-11-07 14:18:53,-74,2,(not associated),
86:57:F7:96:D4:08, 2023-11-07 14:18:59, 2023-11-07 14:18:59,-74,4,(not associated),
48:C7:96:F4:82:6C, 2023-11-07 14:19:08, 2023-11-07 14:19:08,-79,1,1A:E8:29:CD:B5:02,
62:B2:82:2D:9A:2F, 2023-11-07 14:19:11, 2023-11-07 14:21:44,-83,56,E8:13:6E:83:92:4C,ELALPA
4A:D2:12:36:C7:79, 2023-11-07 14:19:14, 2023-11-07 14:19:14,-73,1,(not associated),
02:3E:FD:DB:34:ED, 2023-11-07 14:19:16, 2023-11-07 14:19:16,-69,1,(not associated),
DE:51:B8:21:1A:CA, 2023-11-07 14:19:17, 2023-11-07 14:19:17,-80,1,(not associated),
A6:FA:34:82:C9:8D, 2023-11-07 14:19:23, 2023-11-07 14:19:23,-80,2,(not associated),
52:34:45:4A:BE:29, 2023-11-07 14:19:24, 2023-11-07 14:38:12,-32,11,(not associated),
34:EA:E7:E5:57:AE, 2023-11-07 14:19:26, 2023-11-07 14:19:26,-1,1,88:DE:7C:9B:CC:AF,
CA:27:0D:32:1E:61, 2023-11-07 14:19:28, 2023-11-07 14:19:28,-75,2,(not associated),
E2:43:C4:C0:BB:09, 2023-11-07 14:19:30, 2023-11-07 14:19:30,-72,1,(not associated),
AE:02:9B:AB:F8:DF, 2023-11-07 14:19:31, 2023-11-07 14:19:31,-74,4,(not associated),
66:92:8F:9F:7D:4B, 2023-11-07 14:19:43, 2023-11-07 14:19:43,-74,2,(not associated),
2C:2B:F9:C1:0F:32, 2023-11-07 14:19:43, 2023-11-07 14:37:59,-1,34,B4:09:31:5B:FE:3C,
40:11:C3:8B:35:E8, 2023-11-07 14:19:47, 2023-11-07 14:20:07,-79,2,(not associated),
24:11:45:E3:C8:8A, 2023-11-07 14:19:48, 2023-11-07 14:38:01,-1,38,4E:AB:F8:4C:AD:0F,
20:F5:43:F6:09:BA, 2023-11-07 14:19:50, 2023-11-07 14:26:28,-71,5,C4:69:F0:CA:AC:74,
A6:7A:53:85:12:9F, 2023-11-07 14:19:51, 2023-11-07 14:19:51,-75,2,(not associated),MOVISTAR-WIFI6-2280
4A:8C:43:CF:D3:28, 2023-11-07 14:19:54, 2023-11-07 14:19:54,-1,1,68:E2:09:7D:38:64,
02:B5:BD:C3:09:A7, 2023-11-07 14:19:54, 2023-11-07 14:19:54,-78,1,(not associated),
68:3A:48:44:7C:6D, 2023-11-07 14:19:57, 2023-11-07 14:19:57,-1,1,68:E2:09:7D:38:64,
76:4A:C6:05:6C:D8, 2023-11-07 14:19:58, 2023-11-07 14:19:58,-78,2,(not associated),
1E:73:EF:C9:D4:0F, 2023-11-07 14:20:05, 2023-11-07 14:20:05,-77,1,(not associated),
10:5B:AD:3C:09:7B, 2023-11-07 14:20:06, 2023-11-07 14:20:06,-79,2,(not associated),
FE:2E:00:AE:8A:D8, 2023-11-07 14:20:09, 2023-11-07 14:20:09,-75,1,(not associated),
90:0F:0C:33:9B:6B, 2023-11-07 14:20:13, 2023-11-07 14:20:13,-1,1,E4:AB:89:63:7F:C0,
7E:FE:AD:2E:05:C8, 2023-11-07 14:20:16, 2023-11-07 14:20:16,-74,1,(not associated),
2E:18:39:DC:15:89, 2023-11-07 14:20:28, 2023-11-07 14:20:28,-76,1,(not associated),
14:87:6A:0A:79:56, 2023-11-07 14:20:31, 2023-11-07 14:20:31,-72,1,(not associated),PERFECT
6E:53:35:08:70:A1, 2023-11-07 14:20:32, 2023-11-07 14:20:32,-74,2,(not associated),
AA:D0:9C:44:52:63, 2023-11-07 14:20:36, 2023-11-07 14:20:36,-73,2,(not associated),
E2:8C:0C:CD:BF:BE, 2023-11-07 14:20:42, 2023-11-07 14:20:42,-75,2,(not associated),
3E:51:5E:0D:3A:79, 2023-11-07 14:20:43, 2023-11-07 14:20:43,-78,1,(not associated),
CA:3A:17:93:07:7D, 2023-11-07 14:20:44, 2023-11-07 14:20:44,-74,1,(not associated),
9A:64:14:96:49:4D, 2023-11-07 14:20:48, 2023-11-07 14:34:28,-79,2,00:35:1A:1D:68:C1,
66:76:96:2D:84:66, 2023-11-07 14:20:49, 2023-11-07 14:20:49,-79,1,(not associated),
16:25:32:6D:AF:83, 2023-11-07 14:20:52, 2023-11-07 14:20:52,-72,1,(not associated),
9E:B6:3D:92:92:6E, 2023-11-07 14:20:58, 2023-11-07 14:20:58,-75,1,(not associated),
B6:5E:FE:F1:5C:82, 2023-11-07 14:20:58, 2023-11-07 14:20:58,-80,1,(not associated),
5A:00:02:17:14:74, 2023-11-07 14:20:59, 2023-11-07 14:20:59,-76,2,(not associated),
3E:90:11:16:B5:ED, 2023-11-07 14:21:05, 2023-11-07 14:21:05,-80,1,(not associated),
4A:1F:D9:3B:85:94, 2023-11-07 14:21:08, 2023-11-07 14:21:08,-69,1,(not associated),
60:7E:CD:DE:6B:40, 2023-11-07 14:21:10, 2023-11-07 14:36:08,-68,3,(not associated),
82:D2:1D:C7:70:BF, 2023-11-07 14:21:17, 2023-11-07 14:38:35,-77,6,DA:13:99:05:F8:17,
36:F9:31:CA:1F:5A, 2023-11-07 14:21:18, 2023-11-07 14:21:18,-78,1,(not associated),
12:4D:97:33:E2:BC, 2023-11-07 14:21:24, 2023-11-07 14:21:24,-76,1,(not associated),
EC:9C:32:D4:0E:FF, 2023-11-07 14:21:41, 2023-11-07 14:21:41,-82,1,(not associated),Clinica Contempora
