BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
46:48:B9:02:49:8A, 2023-11-07 14:11:10, 2023-11-07 14:38:38, 11, 130, WPA2, CCMP, PSK,-76.0,313.0,0.0,   0.  0.  0.  0,11.0, Mujerysalud, 
54:52:84:52:DF:D0, 2023-11-07 14:11:10, 2023-11-07 14:38:38,  6, 270, WPA2 WPA, CCMP, PSK,-70.0,95.0,0.0,   0.  0.  0.  0,7.0, PERFECT, 
48:D3:43:B7:61:E9, 2023-11-07 14:11:10, 2023-11-07 14:26:33,  1,  -1, WPA, ,   ,-1.0,0.0,2.0,   0.  0.  0.  0,0.0, , 
90:3F:EA:22:9B:0C, 2023-11-07 14:11:11, 2023-11-07 14:38:36,  6, 130, WPA2 WPA, CCMP, PSK,-70.0,60.0,19.0,   0.  0.  0.  0,12.0, NEGRITA 2022, 
24:F5:A2:A7:36:20, 2023-11-07 14:11:12, 2023-11-07 14:14:05,  4, 360, WPA2, CCMP, PSK,-78.0,13.0,0.0,   0.  0.  0.  0,6.0, cosis4, 
30:C5:0F:3F:12:28, 2023-11-07 14:11:13, 2023-11-07 14:38:39,  6, 130, WPA2 WPA, CCMP, PSK,-58.0,312.0,5.0,   0.  0.  0.  0,11.0, HUAWEI-M4Zm, 
44:48:B9:DB:0C:08, 2023-11-07 14:11:13, 2023-11-07 14:20:37, 11, 130, WPA2, CCMP, PSK,-81.0,5.0,0.0,   0.  0.  0.  0,24.0, Departamento 609 2.4 Ghz, 
C0:D1:93:35:26:61, 2023-11-07 14:11:13, 2023-11-07 14:11:13,  6, 130, WPA2, CCMP, PSK,-79.0,1.0,0.0,   0.  0.  0.  0,0.0, , 
40:0D:10:EB:DD:C1, 2023-11-07 14:11:13, 2023-11-07 14:37:55,  6, 130, WPA2, CCMP, PSK,-70.0,83.0,0.0,   0.  0.  0.  0,6.0, ELISSA, 
2C:A0:42:E7:B2:EC, 2023-11-07 14:11:13, 2023-11-07 14:38:32,  6, 270, WPA2 WPA, CCMP, PSK,-78.0,14.0,0.0,   0.  0.  0.  0,5.0, PILLA, 
2C:A0:42:E5:E5:78, 2023-11-07 14:11:14, 2023-11-07 14:34:49,  1, 270, WPA2 WPA, CCMP, PSK,-72.0,18.0,0.0,   0.  0.  0.  0,15.0, Familia Machado, 
54:52:84:52:E0:05, 2023-11-07 14:11:20, 2023-11-07 14:38:24,  6, 270, WPA2, CCMP, PSK,-73.0,26.0,0.0,   0.  0.  0.  0,0.0, , 
C4:69:F0:D0:1A:4C, 2023-11-07 14:11:24, 2023-11-07 14:38:39, 11, 400, WPA2 WPA, CCMP, PSK,-69.0,89.0,18.0,   0.  0.  0.  0,15.0, Familia Machado, 
44:48:B9:07:66:7E, 2023-11-07 14:11:24, 2023-11-07 14:37:55,  6, 130, WPA2, CCMP, PSK,-72.0,39.0,103.0,   0.  0.  0.  0,9.0, PANCURITA, 
A4:17:8B:98:E4:53, 2023-11-07 14:11:25, 2023-11-07 14:35:54,  1,  -1, WPA, ,   ,-77.0,0.0,7.0,   0.  0.  0.  0,0.0, , 
C4:69:F0:CF:E8:D7, 2023-11-07 14:11:27, 2023-11-07 14:21:56,  6, 360, WPA2 WPA, CCMP TKIP, PSK,-77.0,5.0,0.0,   0.  0.  0.  0,0.0, , 
AC:F8:CC:01:6A:22, 2023-11-07 14:11:31, 2023-11-07 14:38:24, 11, 130, WPA2, CCMP, PSK,-76.0,44.0,0.0,   0.  0.  0.  0,11.0, VTR-7743202, 
00:35:1A:1D:68:C1, 2023-11-07 14:11:32, 2023-11-07 14:34:28,  1, 195, WPA2, CCMP, PSK,-76.0,1.0,3.0,   0.  0.  0.  0,10.0, smartphone, 
00:35:1A:1D:68:C3, 2023-11-07 14:11:32, 2023-11-07 14:16:44,  1, 195, WPA2 WPA, CCMP, PSK,-81.0,2.0,0.0,   0.  0.  0.  0,12.0, Funcionarios, 
2C:A0:42:E6:3D:89, 2023-11-07 14:11:36, 2023-11-07 14:38:33,  6, 270, WPA2, CCMP, PSK,-72.0,140.0,0.0,   0.  0.  0.  0,0.0, , 
54:52:84:52:DF:D5, 2023-11-07 14:11:38, 2023-11-07 14:38:21,  6, 270, WPA2, CCMP, PSK,-70.0,135.0,0.0,   0.  0.  0.  0,0.0, , 
C4:69:F0:CF:F1:64, 2023-11-07 14:11:41, 2023-11-07 14:38:02,  6, 360, WPA2 WPA, CCMP, PSK,-62.0,5.0,4.0,   0.  0.  0.  0,10.0, Pablo-2.4G, 
